tokens per iteration will be: 491,520
Initializing a new model from scratch
Initializing a new model from scratch
number of parameters: 120.01M
/users/4/serra082/gpt2mla/train_mla.py:184: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
using fused AdamW: True
step 0: train loss 10.9600, val loss 10.9594
iter 1230: loss 4.3805, time 2578.90ms, mfu 24.13%
iter 1240: loss 4.3707, time 2670.03ms, mfu 24.18%
iter 1250: loss 4.3735, time 2591.47ms, mfu 24.29%
iter 1260: loss 4.4326, time 2590.64ms, mfu 24.40%
iter 1270: loss 4.0444, time 3067.54ms, mfu 24.10%
iter 1280: loss 4.2244, time 2580.44ms, mfu 24.23%
iter 1290: loss 4.2529, time 2625.17ms, mfu 24.31%
iter 1300: loss 4.3939, time 2756.18ms, mfu 24.26%
iter 1310: loss 4.4587, time 2815.98ms, mfu 24.16%
iter 1320: loss 4.3685, time 2601.36ms, mfu 24.27%
iter 1330: loss 4.3918, time 2758.01ms, mfu 24.22%
iter 1340: loss 4.2257, time 2580.16ms, mfu 24.34%
iter 1350: loss 4.0534, time 2640.71ms, mfu 24.40%
iter 1360: loss 4.1848, time 2579.36ms, mfu 24.50%
iter 1370: loss 4.3756, time 2705.64ms, mfu 24.48%
iter 1380: loss 4.1214, time 2894.45ms, mfu 24.30%
iter 1390: loss 4.1098, time 2579.37ms, mfu 24.41%
iter 1400: loss 4.2470, time 2579.34ms, mfu 24.52%
iter 1410: loss 3.7438, time 2711.83ms, mfu 24.48%
iter 1420: loss 4.0635, time 2579.99ms, mfu 24.58%
iter 1430: loss 4.2382, time 2579.42ms, mfu 24.67%
iter 1440: loss 4.3833, time 2733.29ms, mfu 24.60%
iter 1450: loss 4.3493, time 2952.71ms, mfu 24.36%
iter 1460: loss 4.2016, time 2578.11ms, mfu 24.47%
iter 1470: loss 4.0753, time 2807.25ms, mfu 24.37%
iter 1480: loss 3.8423, time 2776.51ms, mfu 24.29%
iter 1490: loss 4.2901, time 2707.28ms, mfu 24.29%
iter 1500: loss 3.8194, time 2661.57ms, mfu 24.33%
iter 1510: loss 4.0557, time 2580.47ms, mfu 24.44%
iter 1520: loss 4.1260, time 2631.41ms, mfu 24.49%
iter 1530: loss 4.3373, time 2624.14ms, mfu 24.54%
iter 1540: loss 4.3395, time 2607.78ms, mfu 24.60%
iter 1550: loss 4.2988, time 2574.78ms, mfu 24.69%
iter 1560: loss 3.9683, time 2738.63ms, mfu 24.62%
iter 1570: loss 4.1813, time 2579.51ms, mfu 24.70%
iter 1580: loss 4.0041, time 2591.91ms, mfu 24.76%
iter 1590: loss 3.5581, time 2670.71ms, mfu 24.75%
iter 1600: loss 3.9526, time 2580.33ms, mfu 24.82%
iter 1610: loss 4.4909, time 2578.10ms, mfu 24.88%
iter 1620: loss 4.2673, time 2665.56ms, mfu 24.85%
iter 1630: loss 3.9001, time 2955.31ms, mfu 24.59%
iter 1640: loss 4.0237, time 2571.27ms, mfu 24.68%
iter 1650: loss 3.9272, time 2607.40ms, mfu 24.73%
iter 1660: loss 4.2177, time 2580.19ms, mfu 24.80%
iter 1670: loss 4.1905, time 2578.19ms, mfu 24.87%
iter 1680: loss 3.8953, time 2638.82ms, mfu 24.87%
iter 1690: loss 4.0438, time 2581.73ms, mfu 24.93%
iter 1700: loss 3.8767, time 2886.59ms, mfu 24.71%
iter 1710: loss 4.1493, time 2636.70ms, mfu 24.73%
iter 1720: loss 3.9163, time 2578.85ms, mfu 24.80%
iter 1730: loss 3.9204, time 2631.05ms, mfu 24.81%
iter 1740: loss 3.6264, time 2582.98ms, mfu 24.87%
iter 1750: loss 3.8988, time 2606.53ms, mfu 24.90%
iter 1760: loss 3.9529, time 2688.96ms, mfu 24.85%
iter 1770: loss 4.1514, time 2810.34ms, mfu 24.71%
iter 1780: loss 3.7632, time 2602.27ms, mfu 24.76%
iter 1790: loss 3.4743, time 2671.56ms, mfu 24.74%
iter 1800: loss 3.9624, time 2579.09ms, mfu 24.81%
iter 1810: loss 3.9740, time 2636.69ms, mfu 24.82%
iter 1820: loss 4.2527, time 2591.60ms, mfu 24.87%
iter 1830: loss 3.9132, time 2577.57ms, mfu 24.93%
iter 1840: loss 4.0208, time 2589.44ms, mfu 24.97%
iter 1850: loss 4.0201, time 2578.45ms, mfu 25.02%
iter 1860: loss 3.8146, time 2579.99ms, mfu 25.06%
iter 1870: loss 4.0438, time 2605.19ms, mfu 25.08%
iter 1880: loss 3.8798, time 2591.86ms, mfu 25.10%
iter 1890: loss 3.8446, time 2621.32ms, mfu 25.09%
iter 1900: loss 3.8564, time 2578.74ms, mfu 25.13%
iter 1910: loss 3.9272, time 2613.85ms, mfu 25.13%
iter 1920: loss 3.7127, time 2598.13ms, mfu 25.14%
iter 1930: loss 4.0544, time 2578.67ms, mfu 25.17%
iter 1940: loss 3.8678, time 2620.02ms, mfu 25.16%
iter 1950: loss 4.0062, time 2594.26ms, mfu 25.18%
iter 1960: loss 3.7529, time 2579.60ms, mfu 25.20%
iter 1970: loss 3.9274, time 2788.85ms, mfu 25.04%
iter 1980: loss 3.8523, time 2579.31ms, mfu 25.08%
iter 1990: loss 4.0396, time 2604.58ms, mfu 25.09%
step 2000: train loss 3.8775, val loss 3.8611
saving checkpoint to out-mla
iter 2000: loss 3.8421, time 14099.98ms, mfu 23.05%
iter 2010: loss 4.0594, time 2917.50ms, mfu 22.99%
iter 2020: loss 3.9058, time 2578.85ms, mfu 23.24%
iter 2030: loss 3.8101, time 2579.16ms, mfu 23.46%
iter 2040: loss 3.7993, time 2577.09ms, mfu 23.66%
iter 2050: loss 3.9516, time 2732.25ms, mfu 23.70%
iter 2060: loss 3.8190, time 2581.56ms, mfu 23.87%
iter 2070: loss 3.8209, time 2583.86ms, mfu 24.02%
iter 2080: loss 3.8990, time 2754.85ms, mfu 24.00%
iter 2090: loss 3.9795, time 2607.09ms, mfu 24.12%
iter 2100: loss 3.7771, time 2632.10ms, mfu 24.20%
iter 2110: loss 3.6810, time 2612.03ms, mfu 24.30%
iter 2120: loss 3.8290, time 2585.66ms, mfu 24.40%
iter 2130: loss 3.9286, time 2581.06ms, mfu 24.51%
iter 2140: loss 3.6668, time 2791.77ms, mfu 24.41%
iter 2150: loss 3.6913, time 2599.29ms, mfu 24.49%
iter 2160: loss 3.8559, time 2579.07ms, mfu 24.59%
iter 2170: loss 3.7516, time 2661.14ms, mfu 24.60%
iter 2180: loss 3.7595, time 2582.95ms, mfu 24.68%
iter 2190: loss 4.1292, time 2913.56ms, mfu 24.46%
iter 2200: loss 3.9084, time 2854.68ms, mfu 24.32%
iter 2210: loss 3.8920, time 2733.00ms, mfu 24.29%
iter 2220: loss 3.4871, time 2583.22ms, mfu 24.40%
iter 2230: loss 3.6019, time 2699.58ms, mfu 24.39%
iter 2240: loss 3.6722, time 2578.20ms, mfu 24.50%
iter 2250: loss 3.6079, time 2601.41ms, mfu 24.57%
