Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
/users/4/serra082/gpt2mla/train.py:208: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
step 0: train loss 10.9887, val loss 10.9909
iter 1360: loss 4.1570, time 2037.78ms, mfu 33.05%
iter 1370: loss 3.4864, time 2102.38ms, mfu 32.95%
iter 1380: loss 4.1497, time 2034.01ms, mfu 32.97%
iter 1390: loss 3.8935, time 2061.79ms, mfu 32.93%
iter 1400: loss 4.0725, time 2079.04ms, mfu 32.88%
iter 1410: loss 4.1958, time 2020.53ms, mfu 32.92%
iter 1420: loss 4.1243, time 2021.26ms, mfu 32.96%
iter 1430: loss 4.0661, time 2027.59ms, mfu 32.99%
iter 1440: loss 4.2833, time 2019.76ms, mfu 33.02%
iter 1450: loss 4.1458, time 2020.85ms, mfu 33.05%
iter 1460: loss 4.0612, time 2074.91ms, mfu 32.99%
iter 1470: loss 4.1281, time 2022.66ms, mfu 33.02%
iter 1480: loss 4.0399, time 2020.30ms, mfu 33.05%
iter 1490: loss 3.9884, time 2024.71ms, mfu 33.07%
iter 1500: loss 3.9575, time 2019.10ms, mfu 33.10%
iter 1510: loss 3.8346, time 2055.45ms, mfu 33.06%
iter 1520: loss 3.9998, time 2026.39ms, mfu 33.08%
iter 1530: loss 3.8003, time 2054.62ms, mfu 33.05%
iter 1540: loss 3.6699, time 2037.50ms, mfu 33.05%
iter 1550: loss 4.2584, time 2019.59ms, mfu 33.08%
iter 1560: loss 4.0825, time 2022.17ms, mfu 33.10%
iter 1570: loss 4.0743, time 2030.05ms, mfu 33.11%
iter 1580: loss 3.9633, time 2019.59ms, mfu 33.13%
iter 1590: loss 3.8388, time 2021.28ms, mfu 33.15%
iter 1600: loss 3.8579, time 2031.41ms, mfu 33.15%
iter 1610: loss 3.8429, time 2080.18ms, mfu 33.07%
iter 1620: loss 4.1558, time 2077.54ms, mfu 33.00%
iter 1630: loss 3.8161, time 2097.55ms, mfu 32.91%
iter 1640: loss 3.8795, time 2064.25ms, mfu 32.88%
iter 1650: loss 4.0616, time 2019.98ms, mfu 32.93%
iter 1660: loss 3.8629, time 2021.36ms, mfu 32.97%
iter 1670: loss 4.1167, time 2020.74ms, mfu 33.00%
iter 1680: loss 3.8036, time 2183.30ms, mfu 32.79%
iter 1690: loss 4.0517, time 2020.05ms, mfu 32.84%
iter 1700: loss 3.5909, time 2020.68ms, mfu 32.89%
iter 1710: loss 3.3811, time 2019.48ms, mfu 32.93%
iter 1720: loss 3.7143, time 2020.33ms, mfu 32.97%
iter 1730: loss 3.9342, time 2019.89ms, mfu 33.01%
iter 1740: loss 4.0033, time 2020.01ms, mfu 33.04%
iter 1750: loss 3.6277, time 2020.61ms, mfu 33.07%
iter 1760: loss 3.7157, time 2022.70ms, mfu 33.09%
iter 1770: loss 3.8748, time 2024.77ms, mfu 33.11%
iter 1780: loss 3.2736, time 2022.63ms, mfu 33.13%
iter 1790: loss 3.7823, time 2022.81ms, mfu 33.14%
iter 1800: loss 3.8296, time 2021.29ms, mfu 33.16%
iter 1810: loss 3.8665, time 2020.35ms, mfu 33.17%
iter 1820: loss 3.9351, time 2019.30ms, mfu 33.19%
iter 1830: loss 3.7103, time 2019.98ms, mfu 33.21%
iter 1840: loss 3.7372, time 2020.98ms, mfu 33.22%
iter 1850: loss 4.0678, time 2019.60ms, mfu 33.23%
iter 1860: loss 3.7554, time 2028.76ms, mfu 33.22%
iter 1870: loss 3.8212, time 2065.92ms, mfu 33.16%
iter 1880: loss 3.6795, time 2059.94ms, mfu 33.11%
iter 1890: loss 3.8154, time 2120.46ms, mfu 32.98%
iter 1900: loss 3.6949, time 2133.31ms, mfu 32.84%
iter 1910: loss 3.7224, time 2085.33ms, mfu 32.78%
iter 1920: loss 3.7127, time 2023.50ms, mfu 32.83%
iter 1930: loss 3.7073, time 2026.24ms, mfu 32.87%
iter 1940: loss 3.9200, time 2022.90ms, mfu 32.91%
iter 1950: loss 3.7738, time 2021.58ms, mfu 32.95%
iter 1960: loss 3.9535, time 2021.78ms, mfu 32.99%
iter 1970: loss 3.6230, time 2019.34ms, mfu 33.02%
iter 1980: loss 3.7756, time 2020.43ms, mfu 33.05%
iter 1990: loss 3.8933, time 2031.21ms, mfu 33.06%
step 2000: train loss 3.7796, val loss 3.7997
saving checkpoint to out
iter 2000: loss 3.6307, time 11564.76ms, mfu 30.34%
iter 2010: loss 3.9507, time 2020.44ms, mfu 30.64%
iter 2020: loss 3.9813, time 2022.40ms, mfu 30.90%
iter 2030: loss 3.6411, time 2019.32ms, mfu 31.15%
iter 2040: loss 3.9293, time 2019.01ms, mfu 31.37%
iter 2050: loss 3.7058, time 2020.13ms, mfu 31.56%
iter 2060: loss 3.7064, time 2020.01ms, mfu 31.74%
iter 2070: loss 3.7592, time 2018.64ms, mfu 31.90%
iter 2080: loss 3.7335, time 2018.21ms, mfu 32.05%
iter 2090: loss 3.7033, time 2020.65ms, mfu 32.17%
iter 2100: loss 3.5390, time 2134.99ms, mfu 32.11%
iter 2110: loss 3.5824, time 2019.40ms, mfu 32.23%
iter 2120: loss 3.6836, time 2019.53ms, mfu 32.34%
iter 2130: loss 3.7781, time 2020.07ms, mfu 32.44%
iter 2140: loss 3.4448, time 2019.70ms, mfu 32.53%
iter 2150: loss 3.5920, time 2018.52ms, mfu 32.61%
iter 2160: loss 3.5490, time 2019.37ms, mfu 32.69%
iter 2170: loss 3.7025, time 2019.72ms, mfu 32.75%
iter 2180: loss 3.8245, time 2020.60ms, mfu 32.81%
iter 2190: loss 3.6908, time 2078.81ms, mfu 32.77%
iter 2200: loss 3.6762, time 2058.09ms, mfu 32.76%
iter 2210: loss 3.6964, time 2080.24ms, mfu 32.72%
iter 2220: loss 3.7111, time 2180.72ms, mfu 32.54%
iter 2230: loss 3.5057, time 2064.27ms, mfu 32.55%
iter 2240: loss 3.6842, time 2017.97ms, mfu 32.63%
iter 2250: loss 3.5568, time 2018.47ms, mfu 32.70%
iter 2260: loss 3.5860, time 2029.68ms, mfu 32.75%
iter 2270: loss 3.6069, time 2019.31ms, mfu 32.81%
iter 2280: loss 3.7558, time 2018.25ms, mfu 32.86%
iter 2290: loss 3.6706, time 2020.82ms, mfu 32.91%
iter 2300: loss 3.9616, time 2019.57ms, mfu 32.95%
iter 2310: loss 4.0275, time 2031.39ms, mfu 32.97%
iter 2320: loss 3.8980, time 2027.04ms, mfu 32.99%
iter 2330: loss 3.6993, time 2020.66ms, mfu 33.03%
iter 2340: loss 3.9051, time 2019.00ms, mfu 33.06%
iter 2350: loss 3.7427, time 2020.01ms, mfu 33.09%
iter 2360: loss 3.4994, time 2020.89ms, mfu 33.11%
iter 2370: loss 3.8985, time 2038.47ms, mfu 33.10%
iter 2380: loss 3.6101, time 2020.26ms, mfu 33.12%
iter 2390: loss 3.7985, time 2020.36ms, mfu 33.14%
iter 2400: loss 3.6582, time 2021.77ms, mfu 33.16%
iter 2410: loss 3.7646, time 2021.74ms, mfu 33.17%
iter 2420: loss 3.8503, time 2018.60ms, mfu 33.19%
iter 2430: loss 3.6092, time 2022.65ms, mfu 33.20%
iter 2440: loss 3.6779, time 2021.15ms, mfu 33.21%
iter 2450: loss 3.6575, time 2020.08ms, mfu 33.22%
iter 2460: loss 3.6297, time 2021.55ms, mfu 33.23%
iter 2470: loss 3.6259, time 2019.22ms, mfu 33.24%
iter 2480: loss 3.7464, time 2020.75ms, mfu 33.25%
iter 2490: loss 3.8844, time 2022.73ms, mfu 33.26%
iter 2500: loss 3.8367, time 2069.62ms, mfu 33.18%
iter 2510: loss 3.9173, time 2020.49ms, mfu 33.20%
iter 2520: loss 3.5880, time 2047.28ms, mfu 33.17%
iter 2530: loss 3.7746, time 2024.44ms, mfu 33.18%
iter 2540: loss 3.7737, time 2074.13ms, mfu 33.10%
iter 2550: loss 3.3957, time 2038.62ms, mfu 33.10%
iter 2560: loss 3.5361, time 2063.07ms, mfu 33.05%
iter 2570: loss 3.5801, time 2020.83ms, mfu 33.08%
iter 2580: loss 3.7098, time 2019.14ms, mfu 33.10%
iter 2590: loss 3.5538, time 2021.45ms, mfu 33.12%
iter 2600: loss 3.8815, time 2019.09ms, mfu 33.15%
iter 2610: loss 3.6632, time 2026.01ms, mfu 33.15%
iter 2620: loss 3.7382, time 2085.08ms, mfu 33.07%
iter 2630: loss 3.6043, time 2019.60ms, mfu 33.10%
iter 2640: loss 3.8015, time 2020.99ms, mfu 33.12%
iter 2650: loss 3.5450, time 2019.91ms, mfu 33.14%
iter 2660: loss 3.7158, time 2020.61ms, mfu 33.16%
iter 2670: loss 3.6345, time 2019.40ms, mfu 33.18%
iter 2680: loss 3.5852, time 2019.06ms, mfu 33.19%
iter 2690: loss 3.5554, time 2154.40ms, mfu 33.00%
iter 2700: loss 3.2243, time 2019.79ms, mfu 33.03%
iter 2710: loss 3.4279, time 2019.57ms, mfu 33.06%
iter 2720: loss 3.3944, time 2021.71ms, mfu 33.09%
iter 2730: loss 3.8270, time 2018.86ms, mfu 33.11%
iter 2740: loss 3.7074, time 2018.21ms, mfu 33.14%
iter 2750: loss 3.6042, time 2018.30ms, mfu 33.16%
iter 2760: loss 3.5054, time 2018.35ms, mfu 33.18%
iter 2770: loss 3.2638, time 2030.06ms, mfu 33.18%
iter 2780: loss 3.7999, time 2019.02ms, mfu 33.20%
iter 2790: loss 3.6587, time 2022.10ms, mfu 33.21%
iter 2800: loss 3.4297, time 2019.28ms, mfu 33.22%
iter 2810: loss 3.7481, time 2018.21ms, mfu 33.23%
iter 2820: loss 3.5983, time 2077.11ms, mfu 33.15%
iter 2830: loss 3.5466, time 2024.84ms, mfu 33.16%
iter 2840: loss 3.4247, time 2025.87ms, mfu 33.17%
iter 2850: loss 4.1079, time 2054.79ms, mfu 33.13%
iter 2860: loss 3.4210, time 2018.97ms, mfu 33.15%
iter 2870: loss 3.6790, time 2034.14ms, mfu 33.15%
iter 2880: loss 3.4501, time 2022.55ms, mfu 33.16%
iter 2890: loss 3.4026, time 2019.18ms, mfu 33.18%
iter 2900: loss 3.3310, time 2023.62ms, mfu 33.19%
iter 2910: loss 3.7959, time 2039.43ms, mfu 33.17%
iter 2920: loss 3.3389, time 2019.24ms, mfu 33.19%
iter 2930: loss 3.3689, time 2026.44ms, mfu 33.19%
iter 2940: loss 3.8127, time 2020.75ms, mfu 33.20%
iter 2950: loss 3.5933, time 2020.89ms, mfu 33.22%
iter 2960: loss 3.6596, time 2020.55ms, mfu 33.23%
iter 2970: loss 3.1558, time 2021.86ms, mfu 33.23%
iter 2980: loss 3.4394, time 2019.29ms, mfu 33.24%
iter 2990: loss 3.5291, time 2020.30ms, mfu 33.25%
step 3000: train loss 3.5244, val loss 3.5255
saving checkpoint to out
iter 3000: loss 3.4673, time 11415.26ms, mfu 30.52%
iter 3010: loss 3.5050, time 2019.41ms, mfu 30.80%
iter 3020: loss 3.5940, time 2020.87ms, mfu 31.05%
iter 3030: loss 3.8649, time 2017.55ms, mfu 31.28%
iter 3040: loss 3.6224, time 2019.35ms, mfu 31.49%
iter 3050: loss 3.7457, time 2021.26ms, mfu 31.67%
iter 3060: loss 3.2403, time 2027.75ms, mfu 31.82%
iter 3070: loss 3.4511, time 2019.54ms, mfu 31.98%
iter 3080: loss 3.7786, time 2021.79ms, mfu 32.11%
iter 3090: loss 3.5758, time 2020.44ms, mfu 32.23%
iter 3100: loss 3.5577, time 2019.39ms, mfu 32.34%
iter 3110: loss 3.5001, time 2020.57ms, mfu 32.44%
iter 3120: loss 3.7180, time 2052.12ms, mfu 32.48%
iter 3130: loss 3.5183, time 2026.87ms, mfu 32.55%
iter 3140: loss 3.2828, time 2019.86ms, mfu 32.63%
iter 3150: loss 3.1830, time 2020.07ms, mfu 32.70%
iter 3160: loss 3.3624, time 2030.84ms, mfu 32.74%
iter 3170: loss 3.3695, time 2044.04ms, mfu 32.76%
iter 3180: loss 3.3867, time 2047.60ms, mfu 32.78%
iter 3190: loss 3.4464, time 2094.70ms, mfu 32.71%
iter 3200: loss 3.7171, time 2056.76ms, mfu 32.71%
iter 3210: loss 3.5239, time 2028.22ms, mfu 32.76%
iter 3220: loss 3.6076, time 2021.83ms, mfu 32.82%
iter 3230: loss 3.3305, time 2056.47ms, mfu 32.81%
iter 3240: loss 3.7176, time 2045.40ms, mfu 32.82%
iter 3250: loss 3.4270, time 2026.47ms, mfu 32.86%
iter 3260: loss 3.5094, time 2023.38ms, mfu 32.90%
iter 3270: loss 3.5165, time 2023.14ms, mfu 32.94%
iter 3280: loss 3.5928, time 2064.47ms, mfu 32.91%
iter 3290: loss 3.6771, time 2022.28ms, mfu 32.95%
iter 3300: loss 3.5704, time 2020.86ms, mfu 32.98%
iter 3310: loss 3.4433, time 2021.22ms, mfu 33.02%
iter 3320: loss 3.4966, time 2020.47ms, mfu 33.05%
iter 3330: loss 3.7823, time 2022.83ms, mfu 33.07%
iter 3340: loss 2.9102, time 2019.38ms, mfu 33.10%
iter 3350: loss 3.5722, time 2021.32ms, mfu 33.12%
iter 3360: loss 3.5977, time 2019.70ms, mfu 33.14%
iter 3370: loss 3.3915, time 2020.50ms, mfu 33.16%
iter 3380: loss 3.6446, time 2025.79ms, mfu 33.17%
iter 3390: loss 3.4749, time 2020.00ms, mfu 33.18%
iter 3400: loss 3.2836, time 2019.45ms, mfu 33.20%
iter 3410: loss 3.8618, time 2021.55ms, mfu 33.21%
iter 3420: loss 3.6309, time 2023.38ms, mfu 33.22%
iter 3430: loss 3.2410, time 2019.39ms, mfu 33.23%
iter 3440: loss 3.2060, time 2023.98ms, mfu 33.23%
iter 3450: loss 3.4223, time 2039.23ms, mfu 33.21%
iter 3460: loss 3.5744, time 2018.93ms, mfu 33.22%
iter 3470: loss 3.6152, time 2050.97ms, mfu 33.19%
iter 3480: loss 3.5544, time 2122.47ms, mfu 33.04%
iter 3490: loss 3.3860, time 2050.17ms, mfu 33.02%
iter 3500: loss 3.5684, time 2055.99ms, mfu 32.99%
iter 3510: loss 3.4581, time 2022.23ms, mfu 33.02%
iter 3520: loss 3.3427, time 2062.79ms, mfu 32.98%
iter 3530: loss 3.5546, time 2019.70ms, mfu 33.02%
iter 3540: loss 3.4712, time 2020.98ms, mfu 33.05%
iter 3550: loss 3.3722, time 2019.92ms, mfu 33.08%
iter 3560: loss 3.7063, time 2020.69ms, mfu 33.10%
iter 3570: loss 3.5786, time 2019.70ms, mfu 33.13%
iter 3580: loss 3.1450, time 2020.54ms, mfu 33.14%
iter 3590: loss 3.4479, time 2020.07ms, mfu 33.16%
iter 3600: loss 3.6436, time 2020.53ms, mfu 33.18%
iter 3610: loss 3.6047, time 2020.82ms, mfu 33.19%
iter 3620: loss 3.3922, time 2021.24ms, mfu 33.20%
iter 3630: loss 3.3900, time 2070.19ms, mfu 33.14%
iter 3640: loss 3.5627, time 2020.09ms, mfu 33.16%
iter 3650: loss 3.6514, time 2019.43ms, mfu 33.17%
iter 3660: loss 3.5378, time 2020.24ms, mfu 33.19%
iter 3670: loss 3.3313, time 2021.70ms, mfu 33.20%
iter 3680: loss 3.3458, time 2018.29ms, mfu 33.22%
iter 3690: loss 3.8104, time 2023.55ms, mfu 33.22%
iter 3700: loss 3.5204, time 2019.43ms, mfu 33.23%
iter 3710: loss 3.4529, time 2021.87ms, mfu 33.24%
iter 3720: loss 3.1516, time 2019.95ms, mfu 33.25%
iter 3730: loss 3.4795, time 2173.49ms, mfu 33.02%
